P (W),v (mm/s),W (m),D (m),Tp (K)
41.5,117,1.29E-04,2.57E-05,2693.914286
45.5,213,8.96E-05,2.28E-05,2724.619048
34.5,309,7.28E-05,1.12E-05,3227.533333
33,224,6.91E-05,1.31E-05,2994.1605
39,363,6.61E-05,1.07E-05,3163.228333
39.5,85,1.37E-04,2.91E-05,3316.274231
41,395,6.66E-05,1.30E-05,3207.363636
37,181,8.53E-05,1.92E-05,3287.4
47,352,7.65E-05,1.66E-05,3246.857143
31,128,9.10E-05,1.75E-05,3095.029412
43.5,235,9.27E-05,2.22E-05,3159.190476
40.5,373,6.24E-05,1.58E-05,3118.615385
43,203,1.01E-04,2.34E-05,3002.041667
33.5,192,8.44E-05,1.90E-05,2781.772727
36.5,139,9.63E-05,2.46E-05,2973
46.5,96,1.35E-04,2.97E-05,3154.23913
49.5,288,9.23E-05,2.47E-05,3176.1875
38.5,160,9.29E-05,2.29E-05,3183.862069
45,171,1.13E-04,2.69E-05,2986.7284
47.5,245,9.52E-05,2.27E-05,2733
49,107,1.28E-04,2.79E-05,3150.285714
32.5,267,6.56E-05,1.28E-05,2944
31.5,149,8.15E-05,1.97E-05,3014.931034
48.5,320,8.63E-05,2.20E-05,3218.666667
