P,V,Phi,A,k,Melt Pool Depth,Melt Pool Width,Peak Temperature
45.83333333,130.6666667,0.3925,0.777083333,2.983333333,2.60E-05,1.56E-04,3315
39.5,258.6666667,0.4475,0.752083333,13.71666667,1.30E-05,1.86E-04,2733
49.83333333,333.3333333,0.3325,0.714583333,6.716666667,1.90E-05,1.56E-04,3315
46.83333333,322.6666667,0.4925,0.60625,10.21666667,1.20E-05,1.47E-04,2900
40.5,205.3333333,0.4325,0.822916667,14.88333333,1.80E-05,2.06E-04,2822
46.16666667,162.6666667,0.3825,0.69375,8.583333333,3.10E-05,1.88E-04,3200
47.5,280,0.3875,0.760416667,11.85,1.80E-05,1.90E-04,3096
48.83333333,285.3333333,0.5725,0.80625,13.01666667,2.00E-05,2.08E-04,3137
30.83333333,210.6666667,0.5275,0.635416667,8.816666667,1.00E-05,1.27E-04,2669
48.16666667,152,0.4675,0.652083333,10.91666667,3.10E-05,1.89E-04,2923
41.16666667,365.3333333,0.5975,0.727083333,2.75,1.20E-05,1.26E-04,3315
49.16666667,125.3333333,0.3625,0.73125,14.65,4.40E-05,2.03E-04,2753
35.83333333,114.6666667,0.5225,0.839583333,5.083333333,3.70E-05,1.84E-04,3315
34.83333333,146.6666667,0.5175,0.83125,6.25,3.10E-05,1.88E-04,3395
44.16666667,168,0.4725,0.797916667,13.95,3.40E-05,1.90E-04,2811
36.16666667,264,0.4125,0.602083333,9.283333333,9.00E-06,1.28E-04,2697
38.83333333,248,0.5025,0.61875,13.25,9.00E-06,1.46E-04,2562
49.5,88,0.4575,0.622916667,7.883333333,4.70E-05,2.04E-04,3235
38.5,392,0.3575,0.827083333,6.483333333,1.60E-05,1.41E-04,3371
45.16666667,312,0.4075,0.835416667,1.35,6.00E-06,1.11E-04,3315
44.5,306.6666667,0.5575,0.78125,11.61666667,1.70E-05,1.85E-04,3052
41.5,109.3333333,0.3425,0.65625,8.35,3.50E-05,1.88E-04,3031
35.16666667,349.3333333,0.3975,0.785416667,9.05,1.20E-05,1.28E-04,2962
44.83333333,381.3333333,0.3175,0.647916667,10.45,1.10E-05,1.28E-04,2865
32.16666667,370.6666667,0.4775,0.639583333,1.583333333,5.00E-07,9.30E-05,3315
40.83333333,354.6666667,0.3025,0.75625,7.183333333,1.60E-05,1.42E-04,3385
42.5,317.3333333,0.5825,0.697916667,13.48333333,1.10E-05,1.62E-04,2721
43.5,269.3333333,0.3725,0.772916667,12.08333333,1.70E-05,1.88E-04,2977
46.5,157.3333333,0.3375,0.802083333,3.216666667,2.40E-05,1.54E-04,3315
47.83333333,189.3333333,0.4425,0.74375,3.683333333,2.30E-05,1.56E-04,3315
43.16666667,141.3333333,0.4625,0.789583333,2.05,2.10E-05,1.36E-04,3315
40.16666667,82.66666667,0.3775,0.672916667,1.116666667,1.35E-05,1.26E-04,3315
48.5,376,0.5925,0.79375,8.116666667,1.90E-05,1.78E-04,3315
37.83333333,232,0.4225,0.847916667,11.38333333,1.90E-05,1.89E-04,3011
30.16666667,226.6666667,0.4025,0.84375,12.78333333,1.20E-05,1.53E-04,2639
33.16666667,184,0.3275,0.614583333,9.516666667,1.10E-05,1.38E-04,2653
47.16666667,221.3333333,0.4375,0.685416667,2.516666667,1.70E-05,1.28E-04,3315
36.83333333,301.3333333,0.3125,0.70625,11.15,1.00E-05,1.40E-04,2724
45.5,93.33333333,0.4825,0.76875,3.45,3.65E-05,1.81E-04,3315
34.16666667,328,0.5525,0.747916667,3.916666667,1.40E-05,1.26E-04,3315
37.5,253.3333333,0.5125,0.81875,2.283333333,1.40E-05,1.29E-04,3315
41.83333333,344,0.3525,0.702083333,4.15,1.50E-05,1.29E-04,3315
31.16666667,194.6666667,0.3475,0.66875,4.616666667,1.70E-05,1.35E-04,3410
42.16666667,216,0.5775,0.610416667,5.316666667,2.00E-05,1.58E-04,3350
33.83333333,98.66666667,0.5875,0.810416667,7.65,3.90E-05,1.90E-04,3127
31.5,120,0.5075,0.664583333,7.416666667,2.05E-05,1.68E-04,2949
